"Your order has not been paid yet. <a href=""%s"" target=""_blank"">Click here to print</a> your Boleto Bancário.","<a href=""%s"" target=""_blank"">Clique aqui para imprimir</a> seu Boleto Bancário."
"Production","Produção"
"Name on Card","Nome no Cartão"
"Debit Card Type","Tipo de Cartão de Débito"
"--Please Select--","--Por favor Selecione--"
"Debit Card Number","Número do Cartão de Débito"
"Expiration Date","Data de Validade"
"Card Verification Number","CCV"
"What is this?", "O que é isso?"
"Switch/Solo/Maestro Issue Number", "Número de Emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date", "Data Inicial Switch/Solo/Maestro"
"Your order has not been paid yet. <a href='%s' target='_blank'>Click here to aprove</a> the Debit.","A sua compra ainda não foi paga. <a href='%s' target='_blank'>Clique aqui para aprovar</a> o Debito."